"date","bin","roi_sec","mean_area","median_area"
2019-04-07,"(-3.33,-3.02]",0.0954166666666667,0.000616077096652111,0.000591015
2019-04-07,"(-3.63,-3.33]",0.133263888888889,0.00035205691651902,0.0003505728
2019-04-07,"< -3.63",0.119305555555556,0.000156700950873108,0.0001487628
2019-04-07,"> -2.41",0.000208333333333333,0.00853201433333333,0.009404346
2019-04-08,"(-2.72,-2.41]",0.00284722222222222,0.00242920173170732,0.002301787
2019-04-08,"(-3.02,-2.72]",0.0272222222222222,0.00129173011938776,0.001273133
2019-04-08,"(-3.33,-3.02]",0.112847222222222,0.000610215484307692,0.000580444
2019-04-08,"(-3.63,-3.33]",0.148680555555556,0.000352882790845399,0.0003509572
2019-04-08,"< -3.63",0.113472222222222,0.000158429965973072,0.0001506848
2019-04-08,"> -2.41",0.000347222222222222,0.005070236,0.004898409
2019-04-09,"(-2.72,-2.41]",0.00131944444444444,0.00239458942105263,0.002311397
2019-04-09,"(-3.02,-2.72]",0.018125,0.0012940229394636,0.001260063
2019-04-09,"(-3.33,-3.02]",0.119513888888889,0.00060943079767577,0.0005869788
2019-04-09,"(-3.63,-3.33]",0.158680555555556,0.000352635774704595,0.0003524948
2019-04-09,"< -3.63",0.104930555555556,0.000160572860357379,0.000151838
2019-04-10,"(-2.72,-2.41]",0.00111111111111111,0.0022347815,0.0020031085
2019-04-10,"(-3.02,-2.72]",0.020625,0.00126898075892256,0.001251991
2019-04-10,"(-3.33,-3.02]",0.138194444444444,0.000596939009648241,0.0005719872
2019-04-10,"(-3.63,-3.33]",0.197847222222222,0.000351600924956125,0.0003490352
2019-04-10,"< -3.63",0.123958333333333,0.000159087762464986,0.0001503004
2019-04-11,"(-2.72,-2.41]",0.00222222222222222,0.002325764125,0.0021491805
2019-04-11,"(-3.02,-2.72]",0.0234722222222222,0.00128382320710059,0.001240459
2019-04-11,"(-3.33,-3.02]",0.123680555555556,0.000603151874227962,0.0005773688
2019-04-11,"(-3.63,-3.33]",0.166736111111111,0.000349350116618076,0.0003482664
2019-04-11,"< -3.63",0.0995138888888889,0.000163261895882763,0.0001560664
2019-04-11,"> -2.41",6.94444444444444e-05,0.004970292,0.004970292
2019-04-12,"(-2.72,-2.41]",0.00173611111111111,0.0022979586,0.002148027
2019-04-12,"(-3.02,-2.72]",0.0224305555555556,0.00128464337832817,0.001229696
2019-04-12,"(-3.33,-3.02]",0.106875,0.000611530195711501,0.000582366
2019-04-12,"(-3.63,-3.33]",0.151458333333333,0.000350395669325997,0.0003505728
2019-04-12,"< -3.63",0.0965277777777778,0.000164304728057554,0.0001564508
2019-04-12,"> -2.41",0.000138888888888889,0.0050733115,0.0050733115
2019-04-13,"(-2.72,-2.41]",0.00125,0.00241339133333333,0.002217027
2019-04-13,"(-3.02,-2.72]",0.0161805555555556,0.00128421772618026,0.001248147
2019-04-13,"(-3.33,-3.02]",0.0747222222222222,0.00061932520260223,0.0005902462
